Value.id,Value.name
-1,Bank Filler
0,Dwarf remains
1,Toolkit
2,Cannonball
3,Nulodion's notes
4,Ammo mould
5,Instruction manual
6,Cannon base
8,Cannon stand
10,Cannon barrels
12,Cannon furnace
14,Railing
15,Holy table napkin
16,Magic whistle
17,Grail bell
18,Magic gold feather
19,Holy grail
20,White cog
21,Black cog
22,Blue cog
23,Red cog
24,Rat poison
25,Red vine worm
26,Fishing trophy
27,Fishing pass
28,Insect repellent
30,Bucket of wax
32,Lit black candle
33,Lit candle
35,Excalibur
36,Candle
38,Black candle
39,Bronze arrowtips
40,Iron arrowtips
41,Steel arrowtips
42,Mithril arrowtips
43,Adamant arrowtips
44,Rune arrowtips
45,Opal bolt tips
46,Pearl bolt tips
47,Barb bolttips
48,Longbow (u)
50,Shortbow (u)
52,Arrow shaft
53,Headless arrow
54,Oak shortbow (u)
56,Oak longbow (u)
58,Willow longbow (u)
60,Willow shortbow (u)
62,Maple longbow (u)
64,Maple shortbow (u)
66,Yew longbow (u)
68,Yew shortbow (u)
70,Magic longbow (u)
72,Magic shortbow (u)
74,Khazard helmet
75,Khazard armour
76,Khazard cell keys
77,Khali brew
78,Ice arrows
83,Lever
84,Staff of armadyl
85,Shiny key
86,Pendant of lucien
87,Armadyl pendant
88,Boots of lightness
90,Child's blanket
91,Guam potion (unf)
93,Marrentill potion (unf)
95,Tarromin potion (unf)
97,Harralander potion (unf)
99,Ranarr potion (unf)
101,Irit potion (unf)
103,Avantoe potion (unf)
105,Kwuarm potion (unf)
107,Cadantine potion (unf)
109,Dwarf weed potion (unf)
111,Torstol potion (unf)
113,Strength potion(4)
115,Strength potion(3)
117,Strength potion(2)
119,Strength potion(1)
121,Attack potion(3)
123,Attack potion(2)
125,Attack potion(1)
127,Restore potion(3)
129,Restore potion(2)
131,Restore potion(1)
133,Defence potion(3)
135,Defence potion(2)
137,Defence potion(1)
139,Prayer potion(3)
141,Prayer potion(2)
143,Prayer potion(1)
145,Super attack(3)
147,Super attack(2)
149,Super attack(1)
151,Fishing potion(3)
153,Fishing potion(2)
155,Fishing potion(1)
157,Super strength(3)
159,Super strength(2)
161,Super strength(1)
163,Super defence(3)
165,Super defence(2)
167,Super defence(1)
169,Ranging potion(3)
171,Ranging potion(2)
173,Ranging potion(1)
175,Antipoison(3)
177,Antipoison(2)
179,Antipoison(1)
181,Superantipoison(3)
183,Superantipoison(2)
185,Superantipoison(1)
187,Weapon poison
189,Zamorak brew(3)
191,Zamorak brew(2)
193,Zamorak brew(1)
195,Potion
197,Poison chalice
199,Grimy guam leaf
201,Grimy marrentill
203,Grimy tarromin
205,Grimy harralander
207,Grimy ranarr weed
209,Grimy irit leaf
211,Grimy avantoe
213,Grimy kwuarm
215,Grimy cadantine
217,Grimy dwarf weed
219,Grimy torstol
221,Eye of newt
223,Red spiders' eggs
225,Limpwurt root
227,Vial of water
229,Vial
231,Snape grass
233,Pestle and mortar
235,Unicorn horn dust
237,Unicorn horn
239,White berries
241,Dragon scale dust
243,Blue dragon scale
245,Wine of zamorak
247,Jangerberries
249,Guam leaf
251,Marrentill
253,Tarromin
255,Harralander
257,Ranarr weed
259,Irit leaf
261,Avantoe
263,Kwuarm
265,Cadantine
267,Dwarf weed
269,Torstol
271,Pressure gauge
272,Fish food
273,Poison
274,Poisoned fish food
275,Key
276,Rubber tube
277,Oil can
278,Cattleprod
279,Sheep feed
280,Sheep bones (1)
281,Sheep bones (2)
282,Sheep bones (3)
283,Sheep bones (4)
284,Plague jacket
285,Plague trousers
286,Orange goblin mail
287,Blue goblin mail
288,Goblin mail
290,Research package
291,Notes
292,Book on baxtorian
293,Key
294,Glarial's pebble
295,Glarial's amulet
296,Glarial's urn
298,Key
299,Mithril seeds
300,Rat's tail
301,Lobster pot
303,Small fishing net
305,Big fishing net
307,Fishing rod
309,Fly fishing rod
311,Harpoon
313,Fishing bait
314,Feather
315,Shrimps
317,Raw shrimps
319,Anchovies
321,Raw anchovies
323,Burnt fish
325,Sardine
327,Raw sardine
329,Salmon
331,Raw salmon
333,Trout
335,Raw trout
337,Giant carp
338,Raw giant carp
339,Cod
341,Raw cod
343,Burnt fish
345,Raw herring
347,Herring
349,Raw pike
351,Pike
353,Raw mackerel
355,Mackerel
357,Burnt fish
359,Raw tuna
361,Tuna
363,Raw bass
365,Bass
367,Burnt fish
369,Burnt fish
371,Raw swordfish
373,Swordfish
375,Burnt swordfish
377,Raw lobster
379,Lobster
381,Burnt lobster
383,Raw shark
385,Shark
387,Burnt shark
389,Raw manta ray
391,Manta ray
393,Burnt manta ray
395,Raw sea turtle
397,Sea turtle
399,Burnt sea turtle
401,Seaweed
403,Edible seaweed
405,Casket
407,Oyster
409,Empty oyster
411,Oyster pearl
413,Oyster pearls
415,Ethenea
416,Liquid honey
417,Sulphuric broline
418,Plague sample
419,Touch paper
420,Distillator
422,Bird feed
423,Key
424,Pigeon cage
425,Pigeon cage
426,Priest gown
428,Priest gown
430,Medical gown
431,Karamjan rum
432,Chest key
433,Pirate message
434,Clay
436,Copper ore
438,Tin ore
440,Iron ore
442,Silver ore
444,Gold ore
446,'perfect' gold ore
447,Mithril ore
449,Adamantite ore
451,Runite ore
453,Coal
455,Barcrawl card
456,Scorpion cage
457,Scorpion cage
464,Strange fruit
522,Enchanted beef
523,Enchanted rat
524,Enchanted bear
525,Enchanted chicken
526,Bones
528,Burnt bones
530,Bat bones
532,Big bones
534,Babydragon bones
536,Dragon bones
538,Druid's robe
540,Druid's robe top
542,Monk's robe
544,Monk's robe top
546,Shade robe top
548,Shade robe
550,Newcomer map
552,Ghostspeak amulet
553,Ghost's skull
554,Fire rune
555,Water rune
556,Air rune
557,Earth rune
558,Mind rune
559,Body rune
560,Death rune
561,Nature rune
562,Chaos rune
563,Law rune
564,Cosmic rune
565,Blood rune
566,Soul rune
567,Unpowered orb
569,Fire orb
571,Water orb
573,Air orb
575,Earth orb
577,Blue wizard robe
579,Blue wizard hat
581,Black robe
583,Bailing bucket
585,Bailing bucket
587,Orb of protection
588,Orbs of protection
589,Gnome amulet
590,Tinderbox
592,Ashes
594,Lit torch
595,Torch
596,Unlit torch
598,Bronze fire arrow
600,Astronomy book
601,Goblin kitchen key
602,Lens mould
603,Observatory lens
604,Bone shard
605,Bone key
606,Stone-plaque
607,Tattered scroll
608,Crumpled scroll
609,Rashiliyia corpse
610,Zadimus corpse
611,Locating crystal
612,Locating crystal
613,Locating crystal
614,Locating crystal
615,Locating crystal
616,Beads of the dead
617,Coins
618,Bone beads
619,Paramaya ticket
621,Ship ticket
623,Sword pommel
624,Bervirius notes
625,Wampum belt
626,Pink boots
628,Green boots
630,Blue boots
632,Cream boots
634,Turquoise boots
636,Pink robe top
638,Green robe top
640,Blue robe top
642,Cream robe top
644,Turquoise robe top
646,Pink robe bottoms
648,Green robe bottoms
650,Blue robe bottoms
652,Cream robe bottoms
654,Turquoise robe bottoms
656,Pink hat
658,Green hat
660,Blue hat
662,Cream hat
664,Turquoise hat
666,Portrait
667,Blurite sword
668,Blurite ore
669,Specimen jar
670,Specimen brush
671,Animal skull
672,Special cup
673,Teddy
674,Cracked sample
675,Rock pick
676,Trowel
677,Panning tray
678,Panning tray
679,Panning tray
680,Nuggets
681,Ancient talisman
682,Unstamped letter
683,Sealed letter
684,Belt buckle
685,Old boot
686,Rusty sword
687,Broken arrow
688,Buttons
689,Broken staff
690,Broken glass
691,Level 1 certificate
692,Level 2 certificate
693,Level 3 certificate
694,Ceramic remains
695,Old tooth
696,Invitation letter
697,Damaged armour
698,Broken armour
699,Stone tablet
700,Chemical powder
701,Ammonium nitrate
702,Unidentified liquid
703,Nitroglycerin
704,Ground charcoal
705,Mixed chemicals
706,Mixed chemicals
707,Chemical compound
708,Arcenia root
709,Chest key
710,Vase
711,Book on chemicals
712,Cup of tea
714,Radimus notes
715,Radimus notes
716,Bull roarer
717,Scrawled note
718,A scribbled note
719,Scrumpled note
720,Sketch
721,Gold bowl
722,Blessed gold bowl
723,Golden bowl
727,Hollow reed
729,Shamans tome
730,Binding book
731,Enchanted vial
732,Holy water
733,Smashed glass
735,Yommi tree seeds
736,Yommi tree seeds
737,Snakeweed mixture
738,Ardrigal mixture
739,Bravery potion
740,Blue hat
741,Chunk of crystal
742,Hunk of crystal
743,Lump of crystal
744,Heart crystal
745,Heart crystal
746,Dark dagger
747,Glowing dagger
748,Holy force
749,Yommi totem
750,Gilded totem
751,Gnomeball
753,Cadava berries
755,Message
756,Cadava potion
757,Book
758,Phoenix hq key
759,Weapon store key
761,Intel report
763,Broken shield
764,Coal bag
765,Broken shield
766,Gem bag
767,Phoenix crossbow
769,Certificate
770,Ardougne cloak
771,Dramen branch
772,Dramen staff
773,'perfect' ring
774,'perfect' necklace
775,Cooking gauntlets
776,Goldsmith gauntlets
777,Chaos gauntlets
778,Steel gauntlets
779,Crest part
780,Crest part
781,Crest part
782,Family crest
783,Bark sample
784,Translation book
785,Glough's journal
786,Hazelmere's scroll
787,Lumber order
788,Glough's key
793,Daconia rock
794,Invasion plans
795,War ship
800,Bronze thrownaxe
801,Iron thrownaxe
802,Steel thrownaxe
803,Mithril thrownaxe
804,Adamant thrownaxe
805,Rune thrownaxe
806,Bronze dart
807,Iron dart
808,Steel dart
809,Mithril dart
810,Adamant dart
811,Rune dart
812,Bronze dart(p)
813,Iron dart(p)
814,Steel dart(p)
815,Mithril dart(p)
816,Adamant dart(p)
817,Rune dart(p)
819,Bronze dart tip
820,Iron dart tip
821,Steel dart tip
822,Mithril dart tip
823,Adamant dart tip
824,Rune dart tip
825,Bronze javelin
826,Iron javelin
827,Steel javelin
828,Mithril javelin
829,Adamant javelin
830,Rune javelin
831,Bronze javelin(p)
832,Iron javelin(p)
833,Steel javelin(p)
834,Mithril javelin(p)
835,Adamant javelin(p)
836,Rune javelin(p)
837,Crossbow
839,Longbow
841,Shortbow
843,Oak shortbow
845,Oak longbow
847,Willow longbow
849,Willow shortbow
851,Maple longbow
853,Maple shortbow
855,Yew longbow
857,Yew shortbow
859,Magic longbow
861,Magic shortbow
863,Iron knife
864,Bronze knife
865,Steel knife
866,Mithril knife
